iter	Passed	Remaining
660	232775	295459
661	233157	295145
662	233589	294893
663	234050	294677
664	234556	294518
665	234931	294192
666	235288	293845
667	235663	293520
668	236044	293202
669	236395	292847
670	236829	292595
671	237315	292406
672	237668	292053
673	237981	291651
674	238330	291292
675	238629	290873
676	238965	290500
677	239306	290132
678	239623	289736
679	239939	289338
680	240298	288992
681	240624	288608
682	240979	288257
683	241299	287866
684	241638	287496
685	241976	287126
686	242314	286756
687	242650	286383
688	242968	285990
689	243298	285610
690	243613	285214
691	243944	284837
692	244241	284420
693	244534	283997
694	244855	283609
695	245159	283201
696	245470	282801
697	245805	282429
698	246102	282014
699	246429	281633
700	246768	281266
701	247130	280926
702	247530	280628
703	248011	280421
704	248418	280131
705	248784	279794
706	249122	279426
707	249430	279023
708	249741	278625
709	250028	278200
710	250400	277871
711	250806	277578
712	251165	277233
713	251499	276860
714	251817	276470
715	252164	276113
716	252461	275700
717	252769	275300
718	253078	274901
719	253373	274488
720	253673	274079
721	253977	273676
722	254273	273264
723	254558	272841
724	254857	272433
725	255168	272039
726	255456	271620
727	255786	271246
728	256076	270829
729	256379	270427
730	256680	270023
731	256973	269611
732	257268	269202
733	257570	268799
734	257857	268382
735	258174	267996
736	258454	267571
737	258748	267163
738	259084	266797
739	259393	266403
740	259734	266044
741	260024	265631
742	260332	265237
743	260616	264820
744	260936	264439
745	261246	264047
746	261553	263654
747	261804	263204
748	262105	262805
749	262388	262388
750	262660	261961
751	262959	261560
752	263252	261155
753	263582	260785
754	263887	260392
755	264183	259989
756	264478	259587
757	264800	259211
758	265104	258817
759	265392	258408
760	265694	258013
761	265993	257615
762	266298	257224
763	266599	256829
764	266897	256430
765	267192	256030
766	267466	255610
767	267752	255201
768	268043	254798
769	268326	254387
770	268625	253991
771	268925	253598
772	269240	253218
773	269529	252814
774	269817	252409
775	270104	252004
776	270402	251610
777	270697	251212
778	270997	250820
779	271314	250444
780	271606	250045
781	271897	249644
782	272217	249271
783	272484	248850
784	272808	248482
785	273091	248075
786	273393	247687
787	273689	247293
788	273987	246901
789	274291	246515
790	274617	246148
791	274930	245771
792	275220	245373
793	275516	244980
794	275820	244595
795	276111	244199
796	276403	243803
797	276670	243386
798	276961	242991
799	277254	242597
800	277552	242208
801	277833	241804
802	278145	241428
803	278458	241053
804	278773	240680
805	279087	240305
806	279408	239937
807	279714	239557
808	280000	239160
809	280295	238770
810	280613	238400
811	280910	238012
812	281238	237651
813	281550	237276
814	281803	236853
815	282087	236455
816	282383	236068
817	282675	235678
818	282970	235290
819	283288	234922
820	283568	234522
821	283879	234148
822	284175	233762
823	284453	233362
824	284765	232990
825	285063	232606
826	285387	232244
827	285693	231867
828	286012	231500
829	286335	231138
830	286622	230746
831	286916	230361
832	287184	229954
833	287465	229558
834	287769	229181
835	288072	228803
836	288355	228410
837	288664	228038
838	288987	227676
839	289326	227328
840	289627	226949
841	289924	226568
842	290230	226193
843	290543	225824
844	290858	225458
845	291158	225080
846	291435	224684
847	291739	224309
848	292025	223920
849	292322	223540
850	292612	223155
851	292882	222755
852	293200	222392
853	293488	222006
854	293775	221620
855	294065	221236
856	294354	220851
857	294667	220485
858	294972	220113
859	295261	219729
860	295567	219358
861	295873	218987
862	296174	218612
863	296461	218228
864	296768	217858
865	297073	217487
866	297384	217121
867	297676	216741
868	297976	216367
869	298279	215995
870	298600	215636
871	298897	215260
872	299189	214881
873	299486	214506
874	299787	214133
875	300083	213757
876	300386	213387
877	300652	212990
878	300981	212638
879	301269	212258
880	301556	211876
881	301853	211502
882	302177	211147
883	302443	210752
884	302730	210372
885	303032	210002
886	303343	209639
887	303634	209261
888	303940	208895
889	304241	208525
890	304548	208159
891	304835	207780
892	305130	207406
893	305434	207039
894	305744	206676
895	306073	206326
896	306407	205979
897	306705	205609
898	307017	205247
899	307303	204868
900	307624	204513
901	307946	204159
902	308257	203798
903	308548	203423
904	308854	203058
905	309154	202690
906	309485	202343
907	309820	201997
908	310143	201644
909	310463	201289
910	310768	200925
911	311075	200562
912	311356	200181
913	311654	199813
914	311939	199436
915	312245	199073
916	312536	198701
917	312827	198328
918	313133	197965
919	313421	197592
920	313720	197225
921	314012	196853
922	314309	196485
923	314617	196125
924	314907	195753
925	315190	195377
926	315472	195001
927	315772	194635
928	316081	194276
929	316379	193910
930	316687	193550
931	317002	193194
932	317319	192840
933	317628	192481
934	317929	192117
935	318219	191747
936	318530	191390
937	318824	191022
938	319119	190656
939	319439	190304
940	319723	189931
941	320041	189578
942	320346	189218
943	320693	188882
944	320986	188515
945	321267	188141
946	321572	187781
947	321861	187413
948	322145	187041
949	322435	186673
950	322725	186305
951	323016	185937
952	323344	185592
953	323638	185227
954	323943	184868
955	324236	184502
956	324537	184142
957	324776	183746
958	325061	183376
959	325330	182998
960	325609	182625
961	325906	182263
962	326207	181904
963	326521	181551
964	326819	181189
965	327109	180824
966	327421	180471
967	327735	180119
968	328026	179754
969	328315	179389
970	328609	179026
971	328912	178668
972	329201	178303
973	329479	177932
974	329788	177578
975	330046	177197
976	330364	176848
977	330691	176503
978	330994	176147
979	331307	175796
980	331603	175435
981	331934	175093
982	332234	174735
983	332533	174377
984	332836	174020
985	333123	173656
986	333418	173296
987	333708	172933
988	333982	172563
989	334292	172211
990	334595	171856
991	334936	171520
992	335268	171179
993	335576	170826
994	335892	170478
995	336177	170113
996	336482	169759
997	336781	169402
998	337075	169043
999	337372	168686
1000	337657	168322
1001	337967	167972
1002	338276	167620
1003	338585	167269
1004	338910	166926
1005	339214	166572
1006	339519	166219
1007	339827	165868
1008	340139	165518
1009	340417	165153
1010	340745	164811
1011	341053	164460
1012	341350	164104
1013	341665	163756
1014	341974	163406
1015	342276	163052
1016	342586	162703
1017	342899	162355
1018	343184	161994
1019	343485	161640
1020	343761	161275
1021	344055	160918
1022	344337	160556
1023	344649	160208
1024	344963	159861
1025	345262	159507
1026	345562	159153
1027	345858	158798
1028	346141	158437
1029	346458	158092
1030	346767	157743
1031	347090	157401
1032	347407	157056
1033	347713	156706
1034	348011	156352
1035	348292	155991
1036	348587	155637
1037	348913	155296
1038	349222	154948
1039	349458	154568
1040	349771	154222
1041	350057	153863
1042	350333	153501
1043	350640	153153
1044	350945	152803
1045	351243	152451
1046	351547	152102
1047	351868	151760
1048	352176	151412
1049	352462	151055
1050	352751	150699
1051	353040	150344
1052	353338	149992
1053	353634	149640
1054	353920	149284
1055	354196	148923
1056	354490	148570
1057	354778	148215
1058	355094	147872
1059	355405	147526
1060	355697	147173
1061	355994	146822
1062	356306	146477
1063	356605	146127
1064	356938	145791
1065	357240	145443
1066	357532	145090
1067	357822	144737
1068	358120	144387
1069	358411	144034
1070	358707	143684
1071	358995	143330
1072	359272	142972
1073	359547	142613
1074	359831	142259
1075	360114	141903
1076	360416	141556
1077	360722	141210
1078	361047	140872
1079	361353	140526
1080	361652	140178
1081	361930	139821
1082	362232	139474
1083	362537	139128
1084	362853	138787
1085	363156	138440
1086	363444	138088
1087	363751	137744
1088	364047	137395
1089	364348	137048
1090	364628	136693
1091	364922	136344
1092	365226	135999
1093	365489	135638
1094	365784	135290
1095	366086	134944
1096	366409	134606
1097	366730	134267
1098	367012	133914
1099	367322	133571
1100	367618	133224
1101	367918	132877
1102	368203	132526
1103	368510	132183
1104	368791	131830
1105	369077	131479
1106	369390	131138
1107	369687	130791
1108	369971	130440
1109	370254	130089
1110	370545	129740
1111	370833	129391
1112	371127	129044
1113	371399	128689
1114	371693	128342
1115	371992	127997
1116	372291	127652
1117	372555	127295
1118	372839	126945
1119	373127	126596
1120	373456	126262
1121	373783	125926
1122	374089	125584
1123	374347	125226
1124	374636	124878
1125	374923	124530
1126	375195	124177
1127	375452	123819
1128	375741	123472
1129	376066	123136
1130	376370	122794
1131	376662	122448
1132	376949	122101
1133	377244	121756
1134	377529	121408
1135	377815	121060
1136	378092	120710
1137	378394	120368
1138	378684	120021
1139	378976	119676
1140	379273	119333
1141	379574	118990
1142	379852	118641
1143	380150	118298
1144	380439	117952
1145	380734	117609
1146	381035	117267
1147	381332	116924
1148	381633	116582
1149	381925	116238
1150	382237	115899
1151	382520	115553
1152	382830	115214
1153	383131	114873
1154	383415	114526
1155	383725	114188
1156	384033	113849
1157	384336	113508
1158	384649	113171
1159	384935	112826
1160	385252	112489
1161	385557	112150
1162	385828	111800
1163	386108	111453
1164	386393	111108
1165	386689	110766
1166	386973	110421
1167	387270	110080
1168	387574	109740
1169	387890	109405
1170	388167	109058
1171	388464	108717
1172	388765	108377
1173	389061	108035
1174	389376	107699
1175	389661	107355
1176	389956	107014
1177	390257	106674
1178	390535	106329
1179	390812	105983
1180	391141	105651
1181	391431	105309
1182	391732	104969
1183	392015	104625
1184	392290	104279
1185	392590	103940
1186	392876	103597
1187	393152	103252
1188	393448	102912
1189	393732	102568
1190	394034	102230
1191	394358	101898
1192	394672	101562
1193	394947	101217
1194	395236	100876
1195	395521	100533
1196	395813	100193
1197	396132	99859
1198	396420	99518
1199	396705	99176
1200	396994	98835
1201	397271	98491
1202	397553	98149
1203	397862	97813
1204	398148	97472
1205	398446	97133
1206	398758	96798
1207	399068	96463
1208	399365	96125
1209	399666	95787
1210	399986	95455
1211	400278	95115
1212	400563	94774
1213	400843	94432
1214	401141	94095
1215	401445	93758
1216	401768	93426
1217	402059	93087
1218	402370	92753
1219	402663	92414
1220	402942	92072
1221	403238	91735
1222	403536	91397
1223	403832	91060
1224	404114	90719
1225	404410	90382
1226	404686	90040
1227	404994	89705
1228	405276	89365
1229	405578	89029
1230	405871	88691
1231	406155	88351
1232	406465	88018
1233	406756	87680
1234	407041	87340
1235	407343	87005
1236	407634	86667
1237	407962	86337
1238	408250	85999
1239	408554	85664
1240	408844	85326
1241	409155	84993
1242	409442	84655
1243	409729	84317
1244	410027	83981
1245	410314	83643
1246	410630	83311
1247	410918	82973
1248	411212	82637
1249	411503	82300
1250	411770	81959
1251	412055	81621
1252	412357	81286
1253	412681	80956
1254	412980	80621
1255	413282	80287
1256	413591	79954
1257	413891	79619
1258	414179	79282
1259	414487	78950
1260	414776	78613
1261	415091	78281
1262	415387	77946
1263	415684	77612
1264	415991	77278
1265	416296	76945
1266	416596	76611
1267	416868	76272
1268	417163	75937
1269	417443	75599
1270	417731	75263
1271	418016	74927
1272	418323	74595
1273	418624	74261
1274	418924	73927
1275	419205	73590
1276	419503	73257
1277	419777	72919
1278	420071	72584
1279	420371	72251
1280	420669	71917
1281	420972	71584
1282	421252	71248
1283	421562	70916
1284	421854	70582
1285	422180	70254
1286	422488	69922
1287	422777	69587
1288	423092	69257
1289	423386	68923
1290	423672	68588
1291	423964	68254
1292	424280	67924
1293	424598	67594
1294	424894	67261
1295	425204	66930
1296	425515	66599
1297	425823	66268
1298	426125	65936
1299	426418	65602
1300	426682	65265
1301	427002	64935
1302	427314	64605
1303	427622	64274
1304	427905	63939
1305	428185	63604
1306	428492	63273
1307	428785	62940
1308	429061	62605
1309	429357	62273
1310	429648	61940
1311	429931	61605
1312	430219	61272
1313	430482	60935
1314	430783	60604
1315	431075	60271
1316	431382	59941
1317	431653	59606
1318	431961	59276
1319	432247	58942
1320	432567	58614
1321	432872	58283
1322	433172	57952
1323	433468	57621
1324	433772	57290
1325	434073	56959
1326	434350	56625
1327	434648	56294
1328	434947	55963
1329	435248	55633
1330	435532	55300
1331	435843	54971
1332	436130	54639
1333	436424	54307
1334	436717	53976
1335	437037	53648
1336	437339	53318
1337	437648	52988
1338	437932	52656
1339	438232	52326
1340	438535	51996
1341	438812	51663
1342	439120	51334
1343	439414	51003
1344	439690	50670
1345	440009	50342
1346	440315	50013
1347	440601	49682
1348	440918	49354
1349	441229	49025
1350	441544	48697
1351	441845	48367
1352	442125	48035
1353	442448	47708
1354	442743	47378
1355	443038	47048
1356	443315	46716
1357	443598	46385
1358	443892	46055
1359	444155	45721
1360	444466	45393
1361	444805	45068
1362	445093	44737
1363	445385	44407
1364	445659	44076
1365	445938	43745
1366	446237	43415
1367	446521	43085
1368	446813	42755
1369	447094	42425
1370	447379	42094
1371	447670	41765
1372	447974	41436
1373	448299	41110
1374	448581	40780
1375	448895	40452
1376	449193	40124
1377	449492	39795
1378	449786	39466
1379	450093	39138
1380	450388	38809
1381	450682	38480
1382	450987	38152
1383	451281	37824
1384	451556	37493
1385	451828	37163
1386	452127	36835
1387	452419	36506
1388	452703	36177
1389	453001	35849
1390	453292	35520
1391	453592	35192
1392	453874	34863
1393	454154	34533
1394	454448	34205
1395	454742	33877
1396	455016	33548
1397	455313	33220
1398	455620	32893
1399	455935	32566
1400	456221	32238
1401	456555	31913
1402	456864	31586
1403	457163	31259
1404	457444	30930
1405	457721	30601
1406	458008	30273
1407	458283	29944
1408	458565	29616
1409	458874	29289
1410	459183	28963
1411	459458	28634
1412	459734	28306
1413	460037	27979
1414	460331	27652
1415	460630	27325
1416	460923	26998
1417	461219	26671
1418	461541	26345
1419	461840	26019
1420	462142	25692
1421	462415	25364
1422	462687	25036
1423	462974	24709
1424	463282	24383
1425	463590	24057
1426	463900	23731
1427	464202	23405
1428	464507	23079
1429	464774	22751
1430	465038	22423
1431	465336	22096
1432	465624	21770
1433	465917	21443
1434	466211	21117
1435	466510	20791
1436	466811	20465
1437	467088	20138
1438	467406	19813
1439	467724	19488
1440	468006	19161
1441	468321	18836
1442	468597	18510
1443	468884	18183
1444	469174	17857
1445	469460	17531
1446	469736	17205
1447	470024	16879
1448	470322	16553
1449	470601	16227
1450	470906	15902
1451	471205	15577
1452	471484	15251
1453	471772	14925
1454	472049	14599
1455	472343	14274
1456	472648	13949
1457	472954	13624
1458	473247	13298
1459	473543	12973
1460	473845	12648
1461	474158	12324
1462	474446	11998
1463	474738	11673
1464	475059	11349
1465	475363	11024
1466	475662	10699
1467	475943	10374
1468	476236	10049
1469	476533	9725
1470	476828	9400
1471	477128	9075
1472	477416	8751
1473	477712	8426
1474	478038	8102
1475	478334	7777
1476	478653	7453
1477	478964	7129
1478	479241	6804
1479	479523	6480
1480	479806	6155
1481	480108	5831
1482	480405	5507
1483	480706	5182
1484	480974	4858
1485	481267	4534
1486	481572	4210
1487	481873	3886
1488	482171	3562
1489	482473	3238
1490	482759	2914
1491	483052	2590
1492	483343	2266
1493	483631	1942
1494	483926	1618
1495	484217	1294
1496	484522	970
1497	484823	647
1498	485133	323
1499	485435	0
